user_id,created_at,company_id,language,activated_at,state
43.0,2013-01-04T13:11:39,6680.0,korean,,pending
44.0,2013-01-04T13:38:21,12647.0,english,2013-01-04T13:39:53,active
45.0,2013-01-04T14:50:58,3920.0,portugese,2013-01-04T14:52:19,active
46.0,2013-01-04T19:22:41,12287.0,english,2013-01-04T19:23:54,active
47.0,2013-01-04T17:33:08,5945.0,korean,2013-01-04T17:34:49,active
48.0,2013-01-04T16:02:44,9827.0,english,2013-01-04T16:04:27,active
49.0,2013-01-04T10:32:31,8314.0,english,,pending
50.0,2013-01-04T12:53:46,9986.0,portugese,,pending
51.0,2013-01-05T12:22:11,26.0,french,,pending
52.0,2013-01-05T15:30:45,2866.0,spanish,2013-01-05T15:32:05,active
53.0,2013-01-05T11:44:51,6.0,french,,pending
54.0,2013-01-06T04:33:10,2291.0,french,,pending
55.0,2013-01-06T12:02:05,51.0,spanish,,pending
56.0,2013-01-06T15:57:11,2754.0,english,,pending
57.0,2013-01-06T04:55:27,4216.0,korean,2013-01-06T04:57:07,active
58.0,2013-01-07T17:51:24,4342.0,spanish,2013-01-07T17:53:08,active
59.0,2013-01-07T15:08:48,2728.0,spanish,2013-01-07T15:10:12,active
60.0,2013-01-07T13:44:53,7209.0,spanish,,pending
61.0,2013-01-07T07:07:21,4823.0,english,2013-01-07T07:08:45,active
62.0,2013-01-07T17:26:57,20.0,chinese,2013-01-07T17:28:41,active
63.0,2013-01-07T19:45:25,13.0,english,,pending
64.0,2013-01-07T05:51:28,6351.0,chinese,,pending
65.0,2013-01-07T15:26:30,10980.0,english,,pending
66.0,2013-01-07T17:58:46,6675.0,chinese,,pending
67.0,2013-01-07T15:42:48,2.0,english,,pending
68.0,2013-01-07T18:48:42,6582.0,english,,pending
69.0,2013-01-07T14:31:38,4871.0,english,2013-01-07T14:32:55,active
70.0,2013-01-08T15:29:04,1648.0,english,2013-01-08T15:30:44,active
71.0,2013-01-08T10:35:55,4435.0,english,,pending
72.0,2013-01-08T13:47:10,1.0,english,2013-01-08T13:48:42,active
73.0,2013-01-08T16:44:42,144.0,spanish,,pending
74.0,2013-01-08T18:29:08,7363.0,russian,,pending
75.0,2013-01-08T00:11:03,112.0,italian,,pending
76.0,2013-01-08T11:12:54,12434.0,arabic,2013-01-08T11:14:16,active
77.0,2013-01-08T15:29:50,1.0,spanish,,pending
78.0,2013-01-08T13:24:07,10475.0,english,2013-01-08T13:25:11,active
79.0,2013-01-08T15:26:29,8368.0,english,,pending
80.0,2013-01-08T15:13:14,7683.0,english,2013-01-08T15:14:47,active
81.0,2013-01-08T14:59:09,2842.0,english,,pending
82.0,2013-01-08T03:11:35,9863.0,english,2013-01-08T03:13:16,active
83.0,2013-01-08T10:14:27,7008.0,portugese,2013-01-08T10:15:59,active
84.0,2013-01-08T13:26:03,12599.0,portugese,,pending
85.0,2013-01-08T05:31:34,2.0,english,,pending
86.0,2013-01-09T14:18:06,11787.0,spanish,,pending
87.0,2013-01-09T11:30:48,72.0,english,,pending
88.0,2013-01-09T20:19:38,2247.0,english,2013-01-09T20:20:49,active
89.0,2013-01-09T09:19:46,9082.0,indian,2013-01-09T09:20:58,active
90.0,2013-01-09T17:45:08,4.0,spanish,,pending
91.0,2013-01-09T20:11:11,5977.0,japanese,2013-01-09T20:12:45,active
92.0,2013-01-09T07:05:42,9490.0,english,2013-01-09T07:07:03,active
93.0,2013-01-09T13:14:37,5536.0,english,,pending
94.0,2013-01-09T14:40:34,5048.0,indian,,pending
95.0,2013-01-09T18:32:11,23.0,english,2013-01-09T18:33:32,active
96.0,2013-01-09T10:00:44,19.0,english,,pending
97.0,2013-01-09T13:12:28,11158.0,french,,pending
98.0,2013-01-09T17:15:31,1197.0,english,,pending
99.0,2013-01-09T10:25:16,5636.0,german,,pending
100.0,2013-01-09T23:23:09,2.0,english,,pending
101.0,2013-01-10T10:50:38,12553.0,english,,pending
102.0,2013-01-10T06:22:15,3336.0,french,2013-01-10T06:23:43,active
103.0,2013-01-10T07:06:41,10393.0,indian,2013-01-10T07:08:11,active
104.0,2013-01-10T09:42:28,868.0,spanish,2013-01-10T09:44:06,active
105.0,2013-01-10T13:03:37,267.0,english,,pending
106.0,2013-01-10T10:50:17,9405.0,english,2013-01-10T10:51:49,active
107.0,2013-01-10T13:09:20,4472.0,russian,2013-01-10T13:10:43,active
108.0,2013-01-10T11:04:58,1848.0,spanish,2013-01-10T11:06:45,active
109.0,2013-01-10T10:24:08,2913.0,english,,pending
110.0,2013-01-10T08:33:08,11418.0,english,,pending
111.0,2013-01-10T18:55:32,698.0,japanese,2013-01-10T18:56:52,active
112.0,2013-01-11T13:10:25,2988.0,english,,pending
113.0,2013-01-11T12:33:23,5184.0,english,,pending
114.0,2013-01-11T19:14:15,3.0,spanish,,pending
115.0,2013-01-11T23:49:47,6881.0,spanish,,pending
116.0,2013-01-11T07:04:24,9265.0,japanese,2013-01-11T07:05:54,active
117.0,2013-01-11T18:02:39,11796.0,german,,pending
118.0,2013-01-11T10:38:09,4426.0,portugese,2013-01-11T10:40:12,active
119.0,2013-01-11T15:04:10,5162.0,english,,pending
120.0,2013-01-11T12:47:10,69.0,english,2013-01-11T12:48:39,active
121.0,2013-01-11T13:13:47,11519.0,indian,,pending
122.0,2013-01-11T11:59:10,6.0,spanish,,pending
123.0,2013-01-11T06:11:28,2628.0,english,,pending
124.0,2013-01-11T07:12:55,944.0,indian,,pending
125.0,2013-01-11T07:02:53,4611.0,english,,pending
126.0,2013-01-12T11:27:11,10347.0,french,,pending
127.0,2013-01-12T23:08:32,31.0,german,2013-01-12T23:09:55,active
128.0,2013-01-12T12:59:04,1961.0,french,,pending
129.0,2013-01-12T18:00:30,8.0,japanese,,pending
130.0,2013-01-13T12:24:59,2731.0,english,,pending
131.0,2013-01-13T12:05:31,1.0,korean,2013-01-13T12:06:44,active
132.0,2013-01-13T10:29:29,2.0,english,,pending
133.0,2013-01-13T14:25:21,2.0,spanish,,pending
134.0,2013-01-14T14:22:01,9056.0,spanish,,pending
135.0,2013-01-14T10:52:40,11395.0,spanish,,pending
136.0,2013-01-14T17:04:47,5.0,korean,,pending
137.0,2013-01-14T15:51:17,2.0,german,,pending
138.0,2013-01-14T18:57:11,8657.0,french,2013-01-14T18:58:37,active
139.0,2013-01-14T13:55:56,1181.0,portugese,2013-01-14T13:57:06,active
140.0,2013-01-14T13:01:58,10800.0,english,,pending
141.0,2013-01-14T16:46:06,2118.0,german,,pending
142.0,2013-01-14T10:16:02,4321.0,english,2013-01-14T10:17:15,active
143.0,2013-01-14T12:08:35,12770.0,french,2013-01-14T12:09:55,active
144.0,2013-01-14T14:01:47,5593.0,english,,pending
145.0,2013-01-14T07:07:28,1.0,english,2013-01-14T07:08:48,active
146.0,2013-01-14T13:46:51,3.0,english,,pending
147.0,2013-01-14T03:16:44,3447.0,russian,,pending
148.0,2013-01-14T17:06:08,3533.0,english,,pending
149.0,2013-01-15T18:13:02,3790.0,japanese,2013-01-15T18:14:44,active
150.0,2013-01-15T18:55:57,91.0,english,2013-01-15T18:57:32,active
151.0,2013-01-15T10:46:50,2.0,english,,pending
152.0,2013-01-15T06:15:02,7097.0,spanish,2013-01-15T06:16:15,active
153.0,2013-01-15T14:02:30,7144.0,english,,pending
154.0,2013-01-15T13:23:19,7080.0,russian,,pending
155.0,2013-01-15T15:03:52,2362.0,portugese,2013-01-15T15:05:22,active
156.0,2013-01-15T07:19:53,276.0,spanish,,pending
157.0,2013-01-15T17:43:25,1895.0,english,,pending
158.0,2013-01-15T12:22:31,1.0,english,2013-01-15T12:24:04,active
159.0,2013-01-15T12:40:01,148.0,english,,pending
160.0,2013-01-15T12:56:34,10564.0,english,2013-01-15T12:58:04,active
161.0,2013-01-15T14:19:41,15.0,german,,pending
162.0,2013-01-15T23:13:28,5.0,english,2013-01-15T23:14:31,active
163.0,2013-01-15T12:46:09,5744.0,english,2013-01-15T12:47:38,active
164.0,2013-01-16T07:12:02,10009.0,english,,pending
165.0,2013-01-16T18:22:50,874.0,english,2013-01-16T18:23:59,active
166.0,2013-01-16T11:28:39,1.0,english,2013-01-16T11:30:04,active
167.0,2013-01-16T20:40:24,6709.0,arabic,2013-01-16T20:41:41,active
168.0,2013-01-16T05:25:41,86.0,russian,2013-01-16T05:27:06,active
169.0,2013-01-16T08:15:38,12326.0,english,,pending
170.0,2013-01-16T19:53:34,17.0,english,,pending
171.0,2013-01-16T08:36:14,4617.0,german,2013-01-16T08:37:42,active
172.0,2013-01-16T15:53:02,11385.0,german,,pending
173.0,2013-01-16T08:40:05,20.0,english,2013-01-16T08:41:44,active
174.0,2013-01-16T07:13:52,27.0,indian,2013-01-16T07:15:05,active
175.0,2013-01-16T11:22:22,4797.0,russian,2013-01-16T11:24:01,active
176.0,2013-01-16T08:40:31,8824.0,japanese,2013-01-16T08:41:51,active
177.0,2013-01-16T17:28:32,1244.0,english,2013-01-16T17:30:07,active
178.0,2013-01-17T17:57:40,10074.0,english,,pending
179.0,2013-01-17T07:49:48,5207.0,french,,pending
180.0,2013-01-17T13:24:44,8461.0,chinese,2013-01-17T13:26:27,active
181.0,2013-01-17T09:36:28,1.0,italian,2013-01-17T09:37:59,active
182.0,2013-01-17T10:58:40,12933.0,japanese,2013-01-17T11:00:08,active
183.0,2013-01-17T19:16:45,12298.0,english,2013-01-17T19:18:13,active
184.0,2013-01-17T09:23:59,1.0,korean,2013-01-17T09:25:16,active
185.0,2013-01-17T18:36:22,2365.0,chinese,,pending
186.0,2013-01-17T11:56:46,3969.0,chinese,,pending
187.0,2013-01-17T16:37:06,387.0,arabic,,pending
188.0,2013-01-17T05:04:32,8340.0,english,,pending
189.0,2013-01-18T03:41:06,6850.0,english,2013-01-18T03:42:44,active
190.0,2013-01-18T10:17:51,1750.0,spanish,,pending
191.0,2013-01-18T09:46:08,3926.0,english,2013-01-18T09:47:41,active
192.0,2013-01-18T10:20:43,1.0,english,,pending
193.0,2013-01-18T17:43:51,2531.0,english,,pending
194.0,2013-01-18T17:30:26,34.0,english,2013-01-18T17:31:54,active
195.0,2013-01-18T16:15:55,165.0,spanish,,pending
196.0,2013-01-18T08:01:52,8423.0,german,2013-01-18T08:03:31,active
197.0,2013-01-18T10:36:11,11481.0,english,2013-01-18T10:37:33,active
198.0,2013-01-18T08:31:26,6764.0,english,,pending
199.0,2013-01-18T08:44:25,10.0,english,2013-01-18T08:45:40,active
200.0,2013-01-18T15:23:53,445.0,spanish,,pending
201.0,2013-01-18T06:39:27,9626.0,french,,pending
202.0,2013-01-19T10:56:48,3998.0,japanese,,pending
203.0,2013-01-19T17:12:10,3627.0,german,2013-01-19T17:13:27,active
204.0,2013-01-19T23:59:26,4092.0,english,2013-01-20T00:00:57,active
205.0,2013-01-20T07:27:26,8858.0,english,,pending
206.0,2013-01-20T10:04:40,4946.0,english,2013-01-20T10:06:05,active
207.0,2013-01-20T14:29:38,2.0,english,2013-01-20T14:31:14,active
208.0,2013-01-20T23:40:22,1.0,japanese,2013-01-20T23:42:01,active
209.0,2013-01-21T16:42:07,3166.0,german,2013-01-21T16:43:54,active
210.0,2013-01-21T15:24:52,9355.0,indian,,pending
211.0,2013-01-21T13:52:39,1516.0,spanish,,pending
212.0,2013-01-21T02:08:14,7102.0,english,2013-01-21T02:09:47,active
213.0,2013-01-21T18:35:31,6.0,japanese,,pending
214.0,2013-01-21T13:07:56,2229.0,english,,pending
215.0,2013-01-21T07:28:48,226.0,arabic,,pending
216.0,2013-01-21T11:18:30,5917.0,english,,pending
217.0,2013-01-21T19:00:33,9704.0,chinese,2013-01-21T19:02:06,active
218.0,2013-01-21T14:01:19,10375.0,japanese,2013-01-21T14:02:42,active
219.0,2013-01-21T16:19:31,148.0,russian,,pending
220.0,2013-01-21T04:21:12,9095.0,russian,,pending
221.0,2013-01-22T09:27:51,9786.0,portugese,2013-01-22T09:29:38,active
222.0,2013-01-22T17:58:15,2497.0,indian,,pending
223.0,2013-01-22T14:50:59,1364.0,spanish,,pending
224.0,2013-01-22T15:19:24,263.0,english,2013-01-22T15:20:32,active
225.0,2013-01-22T23:41:27,2740.0,korean,,pending
226.0,2013-01-22T15:53:32,3756.0,english,2013-01-22T15:54:52,active
227.0,2013-01-22T13:24:58,5000.0,english,2013-01-22T13:26:25,active
228.0,2013-01-22T15:31:01,84.0,french,,pending
229.0,2013-01-22T17:28:04,6390.0,spanish,,pending
230.0,2013-01-22T23:06:15,19.0,german,,pending
231.0,2013-01-22T12:04:58,6604.0,portugese,2013-01-22T12:06:18,active
232.0,2013-01-22T13:26:02,3588.0,english,,pending
233.0,2013-01-22T17:45:28,5263.0,spanish,,pending
234.0,2013-01-22T15:10:09,1.0,english,2013-01-22T15:11:21,active
235.0,2013-01-23T08:16:12,19.0,english,2013-01-23T08:17:28,active
236.0,2013-01-23T11:34:22,3171.0,english,2013-01-23T11:35:46,active
237.0,2013-01-23T03:46:23,351.0,french,2013-01-23T03:47:27,active
238.0,2013-01-23T11:04:23,5027.0,spanish,2013-01-23T11:05:52,active
239.0,2013-01-23T00:11:42,1561.0,italian,,pending
240.0,2013-01-23T14:09:48,26.0,english,2013-01-23T14:11:16,active
241.0,2013-01-23T00:06:11,19.0,english,2013-01-23T00:07:41,active
242.0,2013-01-23T13:23:48,325.0,spanish,,pending
243.0,2013-01-23T13:58:08,2230.0,english,,pending
244.0,2013-01-23T15:14:47,9706.0,english,,pending
245.0,2013-01-23T13:00:00,10119.0,portugese,2013-01-23T13:01:32,active
246.0,2013-01-23T14:22:00,5.0,chinese,2013-01-23T14:23:32,active
247.0,2013-01-23T10:37:00,6226.0,arabic,,pending
248.0,2013-01-23T09:14:04,6751.0,arabic,,pending
249.0,2013-01-24T10:00:02,10031.0,english,,pending
250.0,2013-01-24T12:34:58,6.0,french,2013-01-24T12:36:21,active
251.0,2013-01-24T13:41:38,6.0,spanish,2013-01-24T13:43:23,active
252.0,2013-01-24T03:43:41,44.0,english,2013-01-24T03:45:01,active
253.0,2013-01-24T10:58:52,1422.0,english,,pending
254.0,2013-01-24T09:18:43,2.0,english,,pending
255.0,2013-01-24T14:54:29,1182.0,portugese,,pending
256.0,2013-01-24T17:43:36,12656.0,italian,,pending
257.0,2013-01-24T08:02:40,3.0,german,,pending
258.0,2013-01-24T18:33:37,1833.0,japanese,,pending
259.0,2013-01-24T13:17:08,1458.0,english,,pending
260.0,2013-01-24T17:53:39,5313.0,russian,2013-01-24T17:54:56,active
261.0,2013-01-24T11:25:23,137.0,english,2013-01-24T11:26:48,active
262.0,2013-01-24T17:19:19,5583.0,russian,2013-01-24T17:20:43,active
263.0,2013-01-25T15:32:11,27.0,english,,pending
264.0,2013-01-25T17:53:16,9801.0,spanish,2013-01-25T17:54:55,active
265.0,2013-01-25T01:26:25,6062.0,english,2013-01-25T01:27:54,active
266.0,2013-01-25T07:43:34,377.0,english,2013-01-25T07:45:13,active
267.0,2013-01-25T02:45:48,4.0,korean,2013-01-25T02:46:58,active
268.0,2013-01-25T09:10:17,2.0,english,2013-01-25T09:11:54,active
269.0,2013-01-25T11:37:10,71.0,french,2013-01-25T11:38:37,active
270.0,2013-01-25T01:42:03,11352.0,german,,pending
271.0,2013-01-25T14:19:40,7176.0,english,2013-01-25T14:21:15,active
272.0,2013-01-25T17:20:34,1572.0,english,2013-01-25T17:22:17,active
273.0,2013-01-25T13:48:43,1846.0,english,2013-01-25T13:50:22,active
274.0,2013-01-25T05:03:28,9727.0,english,,pending
275.0,2013-01-25T23:25:19,5608.0,english,,pending
276.0,2013-01-25T15:37:54,219.0,english,2013-01-25T15:39:10,active
277.0,2013-01-25T09:59:05,1810.0,indian,,pending
278.0,2013-01-26T14:13:49,7035.0,chinese,,pending
279.0,2013-01-26T13:20:23,1993.0,korean,2013-01-26T13:22:06,active
280.0,2013-01-26T14:33:02,171.0,german,,pending
281.0,2013-01-26T13:41:05,11972.0,japanese,2013-01-26T13:42:37,active
282.0,2013-01-27T13:40:11,10.0,portugese,2013-01-27T13:41:46,active
283.0,2013-01-27T13:22:48,6.0,spanish,,pending
284.0,2013-01-27T14:18:33,684.0,english,,pending
285.0,2013-01-27T17:24:04,7099.0,japanese,2013-01-27T17:25:41,active
286.0,2013-01-28T05:27:47,1.0,german,,pending
287.0,2013-01-28T09:44:44,11524.0,english,2013-01-28T09:46:04,active
288.0,2013-01-28T14:11:12,3898.0,english,2013-01-28T14:12:32,active
289.0,2013-01-28T17:59:31,6236.0,english,2013-01-28T18:01:13,active
290.0,2013-01-28T14:43:23,11051.0,chinese,2013-01-28T14:45:03,active
291.0,2013-01-28T02:37:28,9.0,spanish,2013-01-28T02:38:43,active
292.0,2013-01-28T18:57:08,12392.0,english,2013-01-28T18:58:33,active
293.0,2013-01-28T13:30:01,7928.0,english,2013-01-28T13:31:38,active
294.0,2013-01-28T00:28:04,581.0,english,,pending
295.0,2013-01-28T08:45:58,731.0,french,,pending
296.0,2013-01-28T18:57:19,486.0,english,,pending
297.0,2013-01-29T19:12:30,12588.0,japanese,,pending
298.0,2013-01-29T12:25:32,9000.0,spanish,,pending
299.0,2013-01-29T16:38:03,44.0,english,,pending
300.0,2013-01-29T13:01:24,3464.0,english,2013-01-29T13:02:53,active
301.0,2013-01-29T08:40:52,27.0,english,2013-01-29T08:42:12,active
302.0,2013-01-29T18:56:54,5941.0,english,,pending
303.0,2013-01-29T15:53:00,2.0,english,2013-01-29T15:54:39,active
304.0,2013-01-29T13:46:04,8093.0,english,2013-01-29T13:47:25,active
305.0,2013-01-29T18:30:50,2855.0,german,,pending
306.0,2013-01-29T13:15:31,4.0,english,2013-01-29T13:17:00,active
307.0,2013-01-29T10:45:38,10.0,english,,pending
308.0,2013-01-29T15:52:06,5211.0,english,2013-01-29T15:53:42,active
309.0,2013-01-29T17:59:09,3367.0,french,,pending
310.0,2013-01-29T12:19:08,239.0,english,,pending
311.0,2013-01-30T19:00:47,85.0,english,,pending
312.0,2013-01-30T18:53:05,5.0,english,,pending
313.0,2013-01-30T11:52:54,6523.0,spanish,2013-01-30T11:54:13,active
314.0,2013-01-30T18:43:31,4236.0,english,2013-01-30T18:45:01,active
315.0,2013-01-30T10:21:11,1.0,english,2013-01-30T10:22:59,active
316.0,2013-01-30T21:41:10,4409.0,english,,pending
317.0,2013-01-30T21:19:32,2034.0,english,,pending
318.0,2013-01-30T09:48:31,349.0,english,,pending
319.0,2013-01-30T18:03:49,1260.0,english,,pending
320.0,2013-01-30T10:03:53,2250.0,french,,pending
321.0,2013-01-30T11:36:35,1490.0,german,2013-01-30T11:38:12,active
322.0,2013-01-30T13:37:48,8937.0,english,,pending
323.0,2013-01-30T12:21:18,4213.0,arabic,,pending
324.0,2013-01-31T16:09:27,9488.0,english,,pending
325.0,2013-01-31T16:48:49,4.0,english,2013-01-31T16:50:37,active
326.0,2013-01-31T03:22:30,2229.0,english,2013-01-31T03:23:48,active
327.0,2013-01-31T16:23:08,94.0,portugese,2013-01-31T16:24:28,active
328.0,2013-01-31T22:15:42,4.0,english,,pending
329.0,2013-01-31T17:00:02,4345.0,english,,pending
330.0,2013-01-31T17:57:52,2273.0,english,,pending
331.0,2013-01-31T07:48:51,19.0,japanese,2013-01-31T07:49:58,active
332.0,2013-01-31T07:36:17,174.0,english,2013-01-31T07:37:33,active
333.0,2013-01-31T10:23:39,5.0,russian,,pending
334.0,2013-01-31T09:25:41,1.0,japanese,2013-01-31T09:27:16,active
335.0,2013-01-31T19:14:50,1905.0,english,,pending
336.0,2013-01-31T16:00:57,9176.0,english,,pending
337.0,2013-02-01T12:52:59,6748.0,english,,pending
338.0,2013-02-01T02:28:36,65.0,spanish,2013-02-01T02:29:53,active
339.0,2013-02-01T17:06:10,10.0,english,,pending
340.0,2013-02-01T04:19:09,24.0,english,,pending
341.0,2013-02-01T18:46:00,3.0,arabic,,pending
342.0,2013-02-01T10:39:38,1.0,english,,pending
343.0,2013-02-01T14:21:39,1594.0,japanese,,pending
344.0,2013-02-01T10:27:52,4.0,spanish,,pending
345.0,2013-02-01T07:28:49,1.0,english,2013-02-01T07:30:23,active
346.0,2013-02-01T21:44:33,2040.0,english,,pending
347.0,2013-02-01T08:28:08,3652.0,japanese,2013-02-01T08:29:24,active
348.0,2013-02-01T13:30:00,37.0,german,2013-02-01T13:31:14,active
349.0,2013-02-01T12:53:16,10007.0,french,,pending
350.0,2013-02-01T12:05:29,1322.0,arabic,,pending
351.0,2013-02-01T11:15:31,12199.0,japanese,2013-02-01T11:16:43,active
352.0,2013-02-01T13:25:42,7916.0,indian,2013-02-01T13:27:14,active
353.0,2013-02-02T14:49:46,3683.0,english,2013-02-02T14:51:01,active
354.0,2013-02-02T16:27:26,11467.0,arabic,,pending
355.0,2013-02-02T09:22:14,39.0,korean,,pending
356.0,2013-02-03T16:59:29,12440.0,portugese,2013-02-03T17:00:48,active
357.0,2013-02-03T16:23:20,211.0,french,2013-02-03T16:24:47,active
358.0,2013-02-03T08:00:45,11965.0,italian,2013-02-03T08:02:13,active
359.0,2013-02-03T07:47:49,6.0,indian,,pending
360.0,2013-02-04T12:28:24,12829.0,english,2013-02-04T12:30:08,active
361.0,2013-02-04T11:04:52,9097.0,spanish,,pending
362.0,2013-02-04T07:42:19,2.0,french,2013-02-04T07:43:43,active
363.0,2013-02-04T20:44:27,2095.0,english,2013-02-04T20:46:12,active
364.0,2013-02-04T23:53:08,17.0,japanese,,pending
365.0,2013-02-04T16:38:11,11349.0,english,,pending
366.0,2013-02-04T06:31:35,252.0,japanese,2013-02-04T06:33:15,active
367.0,2013-02-04T20:57:15,11153.0,indian,2013-02-04T20:58:50,active
368.0,2013-02-04T13:43:53,4160.0,russian,,pending
369.0,2013-02-04T18:02:25,4818.0,english,2013-02-04T18:03:53,active
370.0,2013-02-04T17:30:31,9997.0,spanish,,pending
371.0,2013-02-04T13:08:56,4089.0,english,,pending
372.0,2013-02-04T09:39:25,4326.0,spanish,,pending
373.0,2013-02-04T07:36:53,2762.0,arabic,,pending
374.0,2013-02-04T14:05:12,12868.0,english,2013-02-04T14:06:54,active
375.0,2013-02-05T18:30:46,2.0,spanish,,pending
376.0,2013-02-05T15:58:15,53.0,english,2013-02-05T15:59:32,active
377.0,2013-02-05T12:53:35,9005.0,spanish,,pending
378.0,2013-02-05T23:18:59,1.0,english,,pending
379.0,2013-02-05T11:39:26,105.0,portugese,2013-02-05T11:40:56,active
380.0,2013-02-05T22:03:06,3543.0,arabic,2013-02-05T22:04:25,active
381.0,2013-02-05T15:12:46,7415.0,english,,pending
382.0,2013-02-05T18:35:44,7.0,russian,,pending
383.0,2013-02-05T17:20:40,12699.0,english,2013-02-05T17:22:02,active
384.0,2013-02-05T15:59:15,5241.0,arabic,2013-02-05T16:00:37,active
385.0,2013-02-05T06:40:42,4487.0,english,,pending
386.0,2013-02-05T19:28:45,5797.0,german,,pending
387.0,2013-02-05T18:41:34,2964.0,french,2013-02-05T18:43:19,active
388.0,2013-02-05T12:44:32,22.0,french,,pending
389.0,2013-02-05T20:07:34,12953.0,french,,pending
390.0,2013-02-05T11:37:00,8066.0,english,2013-02-05T11:38:36,active
391.0,2013-02-06T00:29:37,179.0,english,2013-02-06T00:30:56,active
392.0,2013-02-06T00:19:19,11.0,french,2013-02-06T00:20:53,active
393.0,2013-02-06T08:26:48,12769.0,french,2013-02-06T08:28:01,active
394.0,2013-02-06T15:35:43,9460.0,arabic,2013-02-06T15:37:20,active
395.0,2013-02-06T08:58:36,4.0,english,,pending
396.0,2013-02-06T14:44:43,12642.0,portugese,,pending
397.0,2013-02-06T09:33:44,1118.0,french,2013-02-06T09:35:22,active
398.0,2013-02-06T18:43:34,10067.0,italian,2013-02-06T18:45:10,active
399.0,2013-02-06T11:57:28,222.0,arabic,,pending
400.0,2013-02-06T01:50:41,1705.0,english,,pending
401.0,2013-02-06T16:17:03,8105.0,english,,pending
402.0,2013-02-06T14:44:58,8381.0,english,,pending
403.0,2013-02-06T10:44:11,47.0,spanish,,pending
404.0,2013-02-07T07:07:14,6077.0,english,,pending
405.0,2013-02-07T15:25:39,12418.0,german,,pending
406.0,2013-02-07T09:48:18,8.0,japanese,2013-02-07T09:49:37,active
407.0,2013-02-07T14:02:24,1.0,french,2013-02-07T14:03:38,active
408.0,2013-02-07T15:54:00,324.0,chinese,,pending
409.0,2013-02-07T05:53:37,5861.0,english,,pending
410.0,2013-02-07T13:35:36,7437.0,english,2013-02-07T13:37:08,active
411.0,2013-02-07T13:34:48,4132.0,indian,2013-02-07T13:36:28,active
412.0,2013-02-07T09:43:54,10429.0,portugese,,pending
413.0,2013-02-07T18:27:27,9707.0,japanese,2013-02-07T18:29:13,active
414.0,2013-02-07T15:46:36,34.0,english,2013-02-07T15:48:11,active
415.0,2013-02-08T15:52:16,4.0,spanish,,pending
